description,category
hospital visit payment,Health
flight ticket,Travel
train ticket,Transport
uber ride,Transport
game purchase,Entertainment
lunch 1702,Food
mall shopping,Shopping
clothes purchase 4161,Shopping
refund received transaction,Income
water bill payment,Utilities
salary credited,Income
water bill,Utilities
refund received,Income
medicine purchase transaction,Health
mall shopping expense,Shopping
doctor consultation expense,Health
trip expense,Travel
daily groceries payment,Groceries
wifi payment payment,Utilities
cashback received,Income
grocery shopping 2998,Groceries
water bill transaction,Utilities
ration store,Groceries
lunch,Food
freelance payment,Income
medicine purchase payment,Health
bus ticket,Transport
wifi payment,Utilities
snacks transaction,Food
medical bill expense,Health
amazon order transaction,Shopping
amazon order,Shopping
medical bill,Health
internet bill payment,Utilities
supermarket payment,Groceries
bonus received,Income
taxi fare,Transport
tour booking 4428,Travel
wifi payment,Utilities
bonus received expense,Income
bus ticket,Transport
medical bill expense,Health
internet bill,Utilities
hospital visit,Health
pharmacy transaction,Health
doctor consultation transaction,Health
grocery shopping payment,Groceries
cinema transaction,Entertainment
daily groceries,Groceries
milk purchase transaction,Groceries
bonus received transaction,Income
daily groceries,Groceries
coffee payment,Food
vacation travel expense,Travel
bonus received 1761,Income
gas bill expense,Utilities
tour booking 4355,Travel
water bill expense,Utilities
amazon order expense,Shopping
burger expense,Food
dinner,Food
petrol expense,Transport
health checkup,Health
supermarket,Groceries
taxi fare 1634,Transport
refund received 3682,Income
shopping transaction,Shopping
health checkup expense,Health
tea payment,Food
netflix subscription 3473,Entertainment
gas bill,Utilities
internet bill transaction,Utilities
medicine purchase,Health
vegetable market 3991,Groceries
milk purchase transaction,Groceries
online shopping,Shopping
mobile recharge expense,Utilities
ration store payment,Groceries
freelance payment 1923,Income
pharmacy,Health
train ticket expense,Transport
mall shopping,Shopping
coffee 1491,Food
pharmacy payment,Health
spotify premium expense,Entertainment
wifi payment transaction,Utilities
swiggy order expense,Food
auto rickshaw transaction,Transport
cinema payment,Entertainment
uber ride payment,Transport
hotel booking payment,Travel
movie ticket payment,Entertainment
hospital visit,Health
taxi fare expense,Transport
daily groceries transaction,Groceries
cinema,Entertainment
flight ticket,Travel
gas bill expense,Utilities
wifi payment transaction,Utilities
internet bill transaction,Utilities
mall shopping,Shopping
hotel booking transaction,Travel
game purchase expense,Entertainment
movie ticket,Entertainment
cinema transaction,Entertainment
vegetable market expense,Groceries
uber ride,Transport
gas bill,Utilities
auto rickshaw,Transport
daily groceries expense,Groceries
daily groceries transaction,Groceries
netflix subscription expense,Entertainment
concert ticket payment,Entertainment
game purchase expense,Entertainment
zomato order 273,Food
cinema payment,Entertainment
snacks,Food
freelance payment 277,Income
concert ticket,Entertainment
breakfast,Food
electronics purchase,Shopping
uber ride payment,Transport
medical bill expense,Health
concert ticket 1297,Entertainment
train ticket expense,Transport
food delivery transaction,Food
resort stay transaction,Travel
dinner expense,Food
vegetable market transaction,Groceries
interest income,Income
wifi payment transaction,Utilities
burger transaction,Food
wifi payment,Utilities
bus ticket,Transport
mall shopping,Shopping
hospital visit,Health
movie ticket 422,Entertainment
gas bill transaction,Utilities
concert ticket transaction,Entertainment
water bill transaction,Utilities
flight ticket transaction,Travel
daily groceries payment,Groceries
mall shopping transaction,Shopping
mall shopping,Shopping
gas bill 2976,Utilities
grocery shopping expense,Groceries
bonus received,Income
snacks,Food
hotel booking,Travel
flipkart order payment,Shopping
grocery shopping transaction,Groceries
pharmacy expense,Health
resort stay payment,Travel
online shopping,Shopping
netflix subscription transaction,Entertainment
food delivery,Food
vegetable market,Groceries
movie ticket payment,Entertainment
restaurant meal,Food
milk purchase transaction,Groceries
resort stay expense,Travel
coffee 1754,Food
pharmacy transaction,Health
amazon order 2896,Shopping
medicine purchase transaction,Health
supermarket payment,Groceries
medicine purchase 1884,Health
electronics purchase,Shopping
concert ticket 3107,Entertainment
water bill 3535,Utilities
ration store transaction,Groceries
amazon order,Shopping
medical bill payment,Health
mall shopping expense,Shopping
cashback received expense,Income
ola cab,Transport
game purchase payment,Entertainment
coffee,Food
uber ride,Transport
pharmacy expense,Health
milk purchase,Groceries
lunch,Food
concert ticket 115,Entertainment
netflix subscription transaction,Entertainment
electronics purchase transaction,Shopping
diesel transaction,Transport
mall shopping 1142,Shopping
online shopping,Shopping
vacation travel,Travel
medicine purchase payment,Health
game purchase,Entertainment
grocery shopping,Groceries
clothes purchase payment,Shopping
freelance payment,Income
wifi payment 2016,Utilities
medicine purchase 3772,Health
spotify premium transaction,Entertainment
ration store transaction,Groceries
medical bill 4181,Health
medical bill payment,Health
hospital visit 2446,Health
uber ride,Transport
water bill 3462,Utilities
vacation travel transaction,Travel
pizza payment,Food
refund received transaction,Income
fuel refill expense,Transport
ration store,Groceries
gas bill,Utilities
supermarket transaction,Groceries
hospital visit transaction,Health
spotify premium payment,Entertainment
refund received 2080,Income
electronics purchase,Shopping
trip expense 3197,Travel
mobile recharge expense,Utilities
wifi payment 3058,Utilities
vegetable market,Groceries
lunch transaction,Food
ration store,Groceries
online shopping payment,Shopping
electricity bill 1395,Utilities
street food expense,Food
mall shopping expense,Shopping
taxi fare,Transport
gas bill 4681,Utilities
train ticket,Transport
zomato order payment,Food
electronics purchase payment,Shopping
zomato order,Food
medicine purchase expense,Health
lunch,Food
wifi payment transaction,Utilities
medical bill expense,Health
salary credited payment,Income
online shopping transaction,Shopping
medicine purchase expense,Health
coffee payment,Food
snacks,Food
ration store,Groceries
movie ticket payment,Entertainment
tea payment,Food
taxi fare 4559,Transport
coffee,Food
cinema transaction,Entertainment
lunch payment,Food
new shoes transaction,Shopping
cinema payment,Entertainment
resort stay transaction,Travel
hotel booking payment,Travel
new shoes expense,Shopping
resort stay,Travel
mobile recharge 4776,Utilities
food delivery transaction,Food
mobile recharge,Utilities
resort stay transaction,Travel
game purchase,Entertainment
water bill payment,Utilities
clothes purchase,Shopping
game purchase,Entertainment
tour booking payment,Travel
health checkup,Health
bonus received,Income
internet bill,Utilities
pharmacy,Health
tea 828,Food
auto rickshaw expense,Transport
salary credited,Income
pharmacy transaction,Health
salary credited 3088,Income
flight ticket 3812,Travel
grocery shopping,Groceries
spotify premium transaction,Entertainment
bonus received,Income
supermarket 835,Groceries
water bill transaction,Utilities
snacks,Food
interest income 949,Income
flipkart order 923,Shopping
trip expense,Travel
milk purchase transaction,Groceries
cinema,Entertainment
taxi fare payment,Transport
breakfast transaction,Food
hotel booking,Travel
petrol transaction,Transport
freelance payment,Income
health checkup 3927,Health
interest income payment,Income
supermarket transaction,Groceries
gas station,Transport
vegetable market payment,Groceries
netflix subscription,Entertainment
new shoes,Shopping
concert ticket payment,Entertainment
game purchase expense,Entertainment
cinema payment,Entertainment
spotify premium expense,Entertainment
auto rickshaw transaction,Transport
pharmacy,Health
salary credited payment,Income
vegetable market expense,Groceries
auto rickshaw,Transport
lunch transaction,Food
interest income 1382,Income
concert ticket expense,Entertainment
petrol transaction,Transport
netflix subscription,Entertainment
health checkup,Health
concert ticket,Entertainment
ration store 1705,Groceries
shopping transaction,Shopping
ration store 672,Groceries
medical bill payment,Health
flight ticket,Travel
cinema,Entertainment
medical bill,Health
supermarket,Groceries
trip expense,Travel
electronics purchase,Shopping
ration store transaction,Groceries
